measurement_id,sample_id_x,station_id,cruise_id,sampleType_number,age,length,weight,sex_number,maturity_number,species_number,gutted_weight,liver_weight,gonad_weight,stomach_weight,year,month,date,area_grid,sub_area_grid,shot_latitude,shot_longitude,hauled_latitude,hauled_longitude,fishing_area,bottom_temperature,surface_temperature,bottom_depth_shot,bottom_depth_hauled,maturity_status,condition_factor,gsi,hsi,bounding_box,image__content__url,sample_id_y,width_px_x,height_px_x,aspect_ratio,width_px_y,height_px_y,width_px,height_px,seg_width_px_x,seg_height_px_x,seg_width_px_y,seg_height_px_y,seg_width_px,seg_height_px,seg_aspect_ratio,month_sin,month_cos,is_survey
21514156,507573,322736,18797,34,14.0,108,9550.0,1.0,3.0,1,8050.0,431.0,538.0,,2020,4,2020-04-17,366,4,63.7228333333333,-16.4953333333333,63.7251666666667,-16.4825,Ingólfshöfði,,6.0,90.0,88.0,2.0,0.758109790174262,5.633507853403142,4.513089005235602,"[[0, 0], [8256, 5504]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/55a0fa795c5badf1484a36b0901e37fd7f7942a699d312f8e0bc420beda96409.nef?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=OHhpVulzAP6EDA102Zq1SI%2BlcDU%3D&Expires=1765370948,507573,,,,,,,,,,,,,,,0.8660254037844387,-0.49999999999999983,False
23625439,542618,340495,20498,1,6.0,69,,1.0,4.0,1,,,,,2023,6,2023-06-15,670,4,66.6446666666667,-20.2866666666667,66.7945,-19.8475,Sporðagrunn,3.5,,,,2.0,,,,"[[2101, 381], [3162, 1010]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/b1c49783fbc15466426129d802cacfa682ca34c912af86ac9df74c31cbeffec5.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=TI6tbKleqXf4wFAKLoLWBJwiN4Q%3D&Expires=1765370954,542618,1061.0,629.0,13.411098395314424,1061.0,629.0,1061.0,629.0,840.0,304.0,840.0,304.0,840.0,304.0,255.36,1.2246467991473532e-16,-1.0,False
23625441,542618,340495,20498,1,7.0,66,,2.0,1.0,1,,,,,2023,6,2023-06-15,670,4,66.6446666666667,-20.2866666666667,66.7945,-19.8475,Sporðagrunn,3.5,,,,0.0,,,,"[[4288, 393], [5302, 1022]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/b1c49783fbc15466426129d802cacfa682ca34c912af86ac9df74c31cbeffec5.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=4BXGtaclwVxO4HEDkza2T4hVwTA%3D&Expires=1765370952,542618,1014.0,629.0,13.36578944085157,1014.0,629.0,1014.0,629.0,761.0,330.0,761.0,330.0,761.0,330.0,251.13,1.2246467991473532e-16,-1.0,False
23625442,542618,340495,20498,1,7.0,72,,1.0,3.0,1,,,,,2023,6,2023-06-15,670,4,66.6446666666667,-20.2866666666667,66.7945,-19.8475,Sporðagrunn,3.5,,,,2.0,,,,"[[5332, 381], [6394, 1010]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/b1c49783fbc15466426129d802cacfa682ca34c912af86ac9df74c31cbeffec5.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=0G84FA0BL890tOURKKMj0zb8GdQ%3D&Expires=1765370958,542618,1062.0,629.0,13.412040458502325,1062.0,629.0,1062.0,629.0,780.0,389.0,780.0,389.0,780.0,389.0,303.42,1.2246467991473532e-16,-1.0,False
23625445,542618,340495,20498,1,5.0,65,,2.0,1.0,1,,,,,2023,6,2023-06-15,670,4,66.6446666666667,-20.2866666666667,66.7945,-19.8475,Sporðagrunn,3.5,,,,0.0,,,,"[[3366, 1210], [4203, 1839]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/b1c49783fbc15466426129d802cacfa682ca34c912af86ac9df74c31cbeffec5.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=zKMl5qvSJJ8yl8j2TxD6NXWGt6E%3D&Expires=1765370948,542618,837.0,629.0,13.173955327189915,837.0,629.0,837.0,629.0,747.0,314.0,747.0,314.0,747.0,314.0,234.558,1.2246467991473532e-16,-1.0,False
23625447,542618,340495,20498,1,6.0,68,,2.0,1.0,1,,,,,2023,6,2023-06-15,670,4,66.6446666666667,-20.2866666666667,66.7945,-19.8475,Sporðagrunn,3.5,,,,0.0,,,,"[[5191, 1198], [6253, 1827]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/b1c49783fbc15466426129d802cacfa682ca34c912af86ac9df74c31cbeffec5.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=sMd34KvE5VfJmC3krs3yEVIdIdk%3D&Expires=1765370951,542618,1062.0,629.0,13.412040458502325,1062.0,629.0,1062.0,629.0,807.0,377.0,807.0,377.0,807.0,377.0,304.239,1.2246467991473532e-16,-1.0,False
23625448,542618,340495,20498,1,6.0,64,,2.0,1.0,1,,,,,2023,6,2023-06-15,670,4,66.6446666666667,-20.2866666666667,66.7945,-19.8475,Sporðagrunn,3.5,,,,0.0,,,,"[[1087, 2052], [2149, 2681]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/b1c49783fbc15466426129d802cacfa682ca34c912af86ac9df74c31cbeffec5.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=mbPIN2NRWvpOZ2jR7f2F%2F9W1S2Q%3D&Expires=1765370959,542618,1062.0,629.0,13.412040458502325,1062.0,629.0,1062.0,629.0,729.0,335.0,729.0,335.0,729.0,335.0,244.215,1.2246467991473532e-16,-1.0,False
23625450,542618,340495,20498,1,6.0,58,,2.0,1.0,1,,,,,2023,6,2023-06-15,670,4,66.6446666666667,-20.2866666666667,66.7945,-19.8475,Sporðagrunn,3.5,,,,0.0,,,,"[[3145, 2064], [3939, 2693]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/b1c49783fbc15466426129d802cacfa682ca34c912af86ac9df74c31cbeffec5.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=0%2BvztmI9W0ai3LzQm1OYPA1UR9M%3D&Expires=1765370950,542618,794.0,629.0,13.121214717947577,794.0,629.0,794.0,629.0,732.0,312.0,732.0,312.0,732.0,312.0,228.384,1.2246467991473532e-16,-1.0,False
23625452,542618,340495,20498,1,5.0,58,,2.0,1.0,1,,,,,2023,6,2023-06-15,670,4,66.6446666666667,-20.2866666666667,66.7945,-19.8475,Sporðagrunn,3.5,,,,0.0,,,,"[[4995, 2089], [6056, 2718]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/b1c49783fbc15466426129d802cacfa682ca34c912af86ac9df74c31cbeffec5.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=1keDB%2FjDYFd7ROGr71i8oqhMY8Q%3D&Expires=1765370953,542618,1061.0,629.0,13.411098395314424,1061.0,629.0,1061.0,629.0,702.0,291.0,702.0,291.0,702.0,291.0,204.282,1.2246467991473532e-16,-1.0,False
23625453,542618,340495,20498,1,8.0,79,,1.0,4.0,1,,,,,2023,6,2023-06-15,670,4,66.6446666666667,-20.2866666666667,66.7945,-19.8475,Sporðagrunn,3.5,,,,2.0,,,,"[[1063, 2893], [2124, 3522]]",https://prod-photolith-s3-civil-hyena.s3.amazonaws.com/image_content/b1c49783fbc15466426129d802cacfa682ca34c912af86ac9df74c31cbeffec5.jpg?AWSAccessKeyId=AKIA2PAFZ4SYE6JWV6GU&Signature=4BXGtaclwVxO4HEDkza2T4hVwTA%3D&Expires=1765370952,542618,1061.0,629.0,13.411098395314424,1061.0,629.0,1061.0,629.0,915.0,410.0,915.0,410.0,915.0,410.0,375.15,1.2246467991473532e-16,-1.0,False
